"","District","Primary.Type","crime_count","arrest_count","arrest_rate"
"1",1,"ARSON",61,17,0.278688524590164
"2",1,"ASSAULT",6613,1455,0.220021170421896
"3",1,"BATTERY",14576,3720,0.255214050493963
"4",1,"BURGLARY",1905,197,0.103412073490814
"5",1,"CONCEALED CARRY LICENSE VIOLATION",21,19,0.904761904761905
"6",1,"CRIM SEXUAL ASSAULT",326,30,0.0920245398773006
"7",1,"CRIMINAL DAMAGE",7289,593,0.0813554671422692
"8",1,"CRIMINAL SEXUAL ASSAULT",230,15,0.0652173913043478
"9",1,"CRIMINAL TRESPASS",5033,3593,0.713888336975959
"10",1,"DECEPTIVE PRACTICE",15285,1268,0.0829571475302584
"11",1,"GAMBLING",2,2,1
"12",1,"HOMICIDE",68,41,0.602941176470588
"13",1,"HUMAN TRAFFICKING",5,2,0.4
"14",1,"INTERFERENCE WITH PUBLIC OFFICER",206,188,0.912621359223301
"15",1,"INTIMIDATION",73,9,0.123287671232877
"16",1,"KIDNAPPING",35,1,0.0285714285714286
"17",1,"LIQUOR LAW VIOLATION",95,93,0.978947368421053
"18",1,"MOTOR VEHICLE THEFT",3662,189,0.051611141452758
"19",1,"NARCOTICS",1772,1739,0.9813769751693
"20",1,"NON - CRIMINAL",1,0,0
"21",1,"NON-CRIMINAL",14,1,0.0714285714285714
"22",1,"OBSCENITY",19,14,0.736842105263158
"23",1,"OFFENSE INVOLVING CHILDREN",298,50,0.167785234899329
"24",1,"OTHER NARCOTIC VIOLATION",13,10,0.769230769230769
"25",1,"OTHER OFFENSE",4563,427,0.0935787858864782
"26",1,"PROSTITUTION",121,121,1
"27",1,"PUBLIC INDECENCY",17,16,0.941176470588235
"28",1,"PUBLIC PEACE VIOLATION",841,454,0.539833531510107
"29",1,"ROBBERY",3850,630,0.163636363636364
"30",1,"SEX OFFENSE",472,124,0.26271186440678
"31",1,"STALKING",113,16,0.141592920353982
"32",1,"THEFT",55705,8030,0.144152230499955
"33",1,"WEAPONS VIOLATION",812,679,0.836206896551724
"34",2,"ARSON",104,12,0.115384615384615
"35",2,"ASSAULT",9329,1217,0.130453424804373
"36",2,"BATTERY",21491,3895,0.181238658042902
"37",2,"BURGLARY",4320,188,0.0435185185185185
"38",2,"CONCEALED CARRY LICENSE VIOLATION",14,12,0.857142857142857
"39",2,"CRIM SEXUAL ASSAULT",385,33,0.0857142857142857
"40",2,"CRIMINAL DAMAGE",12215,573,0.0469095374539501
"41",2,"CRIMINAL SEXUAL ASSAULT",225,12,0.0533333333333333
"42",2,"CRIMINAL TRESPASS",2545,1349,0.530058939096267
"43",2,"DECEPTIVE PRACTICE",6929,303,0.0437292538605859
"44",2,"GAMBLING",52,52,1
"45",2,"HOMICIDE",262,120,0.458015267175573
"46",2,"HUMAN TRAFFICKING",7,0,0
"47",2,"INTERFERENCE WITH PUBLIC OFFICER",309,276,0.893203883495146
"48",2,"INTIMIDATION",57,5,0.087719298245614
"49",2,"KIDNAPPING",60,4,0.0666666666666667
"50",2,"LIQUOR LAW VIOLATION",45,44,0.977777777777778
"51",2,"MOTOR VEHICLE THEFT",6071,386,0.0635809586559051
"52",2,"NARCOTICS",4248,4208,0.990583804143126
"53",2,"NON - CRIMINAL",2,0,0
"54",2,"NON-CRIMINAL",4,0,0
"55",2,"NON-CRIMINAL (SUBJECT SPECIFIED)",1,0,0
"56",2,"OBSCENITY",36,28,0.777777777777778
"57",2,"OFFENSE INVOLVING CHILDREN",910,95,0.104395604395604
"58",2,"OTHER NARCOTIC VIOLATION",2,1,0.5
"59",2,"OTHER OFFENSE",7757,1042,0.134330282325641
"60",2,"PROSTITUTION",168,163,0.970238095238095
"61",2,"PUBLIC INDECENCY",4,4,1
"62",2,"PUBLIC PEACE VIOLATION",604,365,0.604304635761589
"63",2,"ROBBERY",5130,322,0.0627680311890838
"64",2,"SEX OFFENSE",395,55,0.139240506329114
"65",2,"STALKING",133,17,0.12781954887218
"66",2,"THEFT",24677,1964,0.0795882805851603
"67",2,"WEAPONS VIOLATION",1985,1155,0.581863979848867
"68",3,"ARSON",168,23,0.136904761904762
"69",3,"ASSAULT",11134,1858,0.166876234955991
"70",3,"BATTERY",28506,5522,0.193713604153512
"71",3,"BURGLARY",7388,261,0.0353275582024905
"72",3,"CONCEALED CARRY LICENSE VIOLATION",21,20,0.952380952380952
"73",3,"CRIM SEXUAL ASSAULT",453,46,0.101545253863135
"74",3,"CRIMINAL DAMAGE",15255,865,0.0567027204195346
"75",3,"CRIMINAL SEXUAL ASSAULT",262,16,0.0610687022900763
"76",3,"CRIMINAL TRESPASS",2950,1846,0.625762711864407
"77",3,"DECEPTIVE PRACTICE",5401,273,0.0505461951490465
"78",3,"GAMBLING",116,115,0.991379310344828
"79",3,"HOMICIDE",393,160,0.407124681933842
"80",3,"HUMAN TRAFFICKING",8,0,0
"81",3,"INTERFERENCE WITH PUBLIC OFFICER",566,537,0.948763250883392
"82",3,"INTIMIDATION",62,8,0.129032258064516
"83",3,"KIDNAPPING",93,8,0.0860215053763441
"84",3,"LIQUOR LAW VIOLATION",47,44,0.936170212765957
"85",3,"MOTOR VEHICLE THEFT",5611,344,0.061308144715737
"86",3,"NARCOTICS",5301,5225,0.985663082437276
"87",3,"NON - CRIMINAL",1,0,0
"88",3,"NON-CRIMINAL",4,2,0.5
"89",3,"OBSCENITY",15,12,0.8
"90",3,"OFFENSE INVOLVING CHILDREN",1289,186,0.144297905352987
"91",3,"OTHER NARCOTIC VIOLATION",1,0,0
"92",3,"OTHER OFFENSE",9511,2199,0.231205972032384
"93",3,"PROSTITUTION",96,96,1
"94",3,"PUBLIC PEACE VIOLATION",813,582,0.715867158671587
"95",3,"ROBBERY",5584,305,0.0546203438395415
"96",3,"SEX OFFENSE",413,66,0.159806295399516
"97",3,"STALKING",127,5,0.0393700787401575
"98",3,"THEFT",19603,1245,0.0635106871397235
"99",3,"WEAPONS VIOLATION",3437,2177,0.633401221995927
"100",4,"ARSON",301,29,0.0963455149501661
"101",4,"ASSAULT",13637,2479,0.181784850040331
"102",4,"BATTERY",31407,6425,0.204572229120897
"103",4,"BURGLARY",8123,329,0.0405022774836883
"104",4,"CONCEALED CARRY LICENSE VIOLATION",43,42,0.976744186046512
"105",4,"CRIM SEXUAL ASSAULT",518,66,0.127413127413127
"106",4,"CRIMINAL DAMAGE",18179,998,0.0548985092689367
"107",4,"CRIMINAL SEXUAL ASSAULT",261,23,0.0881226053639847
"108",4,"CRIMINAL TRESPASS",3184,1734,0.544597989949749
"109",4,"DECEPTIVE PRACTICE",6742,289,0.0428656185108276
"110",4,"GAMBLING",82,82,1
"111",4,"HOMICIDE",424,166,0.391509433962264
"112",4,"HUMAN TRAFFICKING",3,1,0.333333333333333
"113",4,"INTERFERENCE WITH PUBLIC OFFICER",842,813,0.965558194774347
"114",4,"INTIMIDATION",68,6,0.0882352941176471
"115",4,"KIDNAPPING",140,6,0.0428571428571429
"116",4,"LIQUOR LAW VIOLATION",125,125,1
"117",4,"MOTOR VEHICLE THEFT",6850,334,0.0487591240875912
"118",4,"NARCOTICS",7256,7242,0.998070562293275
"119",4,"NON - CRIMINAL",1,0,0
"120",4,"NON-CRIMINAL",4,0,0
"121",4,"OBSCENITY",31,24,0.774193548387097
"122",4,"OFFENSE INVOLVING CHILDREN",1802,211,0.117092119866815
"123",4,"OTHER OFFENSE",11252,2851,0.253377177390686
"124",4,"PROSTITUTION",166,166,1
"125",4,"PUBLIC INDECENCY",2,2,1
"126",4,"PUBLIC PEACE VIOLATION",1048,821,0.783396946564885
"127",4,"ROBBERY",5261,363,0.0689982892986124
"128",4,"SEX OFFENSE",500,84,0.168
"129",4,"STALKING",130,17,0.130769230769231
